Date,Player_1,Player_2,Winner
2015-01-15,Johnson S.,Anderson K.,Anderson K.
2015-01-16,Mannarino A.,Pouille L.,Mannarino A.
2015-01-16,Anderson K.,Vesely J.,Vesely J.
2015-01-17,Vesely J.,Mannarino A.,Vesely J.
2015-01-12,Almagro N.,Cuevas P.,Cuevas P.
2015-01-12,Mayer L.,Becker B.,Mayer L.
2015-01-12,Matosevic M.,Bolelli S.,Bolelli S.
2015-01-13,Del Potro J.M.,Stakhovsky S.,Del Potro J.M.
2015-01-13,Nieminen J.,Andujar P.,Andujar P.
2015-01-13,Tomic B.,Sijsling I.,Tomic B.
2015-01-13,Istomin D.,Kukushkin M.,Kukushkin M.
2015-01-13,Pospisil V.,Seppi A.,Pospisil V.
2015-01-13,Querrey S.,Chardy J.,Chardy J.
2015-01-13,Troicki V.,Klizan M.,Troicki V.
2015-01-13,Groth S.,Muller G.,Muller G.
2015-01-13,Janowicz J.,Kyrgios N.,Janowicz J.
2015-01-14,Fognini F.,Del Potro J.M.,Del Potro J.M.
2015-01-14,Bolelli S.,Goffin D.,Bolelli S.
2015-01-14,Cuevas P.,Kukushkin M.,Kukushkin M.
2015-01-14,Benneteau J.,Pospisil V.,Benneteau J.
2015-01-14,Janowicz J.,Mayer L.,Mayer L.
2015-01-14,Troicki V.,Andujar P.,Troicki V.
2015-01-14,Chardy J.,Muller G.,Muller G.
2015-01-14,Tomic B.,Kohlschreiber P.,Tomic B.
2015-01-15,Del Potro J.M.,Kukushkin M.,Kukushkin M.
2015-01-15,Mayer L.,Benneteau J.,Mayer L.
2015-01-15,Bolelli S.,Troicki V.,Troicki V.
2015-01-15,Muller G.,Tomic B.,Muller G.
2015-01-16,Mayer L.,Kukushkin M.,Kukushkin M.
2015-01-16,Troicki V.,Muller G.,Troicki V.
2015-01-17,Kukushkin M.,Troicki V.,Troicki V.
2015-01-19,Berankis R.,Sijsling I.,Berankis R.
2015-01-19,Brown D.,Dimitrov G.,Dimitrov G.
2015-01-19,Anderson K.,Schwartzman D.,Anderson K.
2015-01-19,Coric B.,Chardy J.,Chardy J.
2015-01-19,Lacko L.,Gonzalez M.,Lacko L.
2015-01-19,Kudryavtsev A.,Matosevic M.,Matosevic M.
2015-01-19,Seppi A.,Istomin D.,Seppi A.
2015-01-19,Thompson J.,Sousa J.,Sousa J.
2015-01-19,Klizan M.,Ito T.,Klizan M.
2015-01-19,Berlocq C.,Gasquet R.,Gasquet R.
2015-01-19,Murray A.,Bhambri Y.,Murray A.
2015-01-19,Russell M.,Goffin D.,Goffin D.
2015-01-19,Duckworth J.,Kavcic B.,Duckworth J.
2015-01-19,Gabashvili T.,Baghdatis M.,Baghdatis M.
2015-01-19,Berdych T.,Falla A.,Berdych T.
2015-01-19,Youzhny M.,Nadal R.,Nadal R.
2015-01-19,Tomic B.,Kamke T.,Tomic B.
2015-01-19,Saville L.,Smyczek T.,Smyczek T.
2015-01-19,Rosol L.,De Schepper K.,Rosol L.
2015-01-19,Millman J.,Mayer L.,Mayer L.
2015-01-19,Kohlschreiber P.,Mathieu P.H.,Kohlschreiber P.
2015-01-19,Struff J.L.,Sela D.,Sela D.
2015-01-19,Melzer J.,Estrella Burgos V.,Melzer J.
2015-01-19,Krajinovic F.,Groth S.,Groth S.
2015-01-19,Bolelli S.,Monaco J.,Bolelli S.
2015-01-19,Vesely J.,Troicki V.,Troicki V.
2015-01-19,Kokkinakis T.,Gulbis E.,Kokkinakis T.
2015-01-19,Lu Y.H.,Federer R.,Federer R.
2015-01-19,Jaziri M.,Kukushkin M.,Jaziri M.
2015-01-19,Bemelmans R.,Karlovic I.,Karlovic I.
2015-01-19,Kyrgios N.,Delbonis F.,Kyrgios N.
2015-01-20,Fognini F.,Gonzalez A.,Gonzalez A.
2015-01-20,Lopez F.,Kudla D.,Lopez F.
2015-01-20,Rola B.,Mannarino A.,Mannarino A.
2015-01-20,Nishikori K.,Almagro N.,Nishikori K.
2015-01-20,Edmund K.,Johnson S.,Johnson S.
2015-01-20,Giraldo S.,Hernych J.,Giraldo S.
2015-01-20,Puetz T.,Young D.,Young D.
2015-01-20,Verdasco F.,Ward J.,Verdasco F.
2015-01-20,Marchenko I.,Raonic M.,Raonic M.
2015-01-20,Wawrinka S.,Ilhan M.,Wawrinka S.
2015-01-20,Lokoli L.,Haider-Maurer A.,Haider-Maurer A.
2015-01-20,Granollers M.,Robert S.,Granollers M.
2015-01-20,Souza J.,Dodig I.,Dodig I.
2015-01-20,Isner J.,Wang J.,Isner J.
2015-01-20,Thiem D.,Bautista R.,Bautista R.
2015-01-20,Muller G.,Carreno-Busta P.,Muller G.
2015-01-20,Haase R.,Simon G.,Simon G.
2015-01-20,Djokovic N.,Bedene A.,Djokovic N.
2015-01-20,Bellucci T.,Ferrer D.,Ferrer D.
2015-01-20,Bachinger M.,Cuevas P.,Bachinger M.
2015-01-20,Ymer E.,Soeda G.,Soeda G.
2015-01-20,Copil M.,Andujar P.,Copil M.
2015-01-20,Golubev A.,Nieminen J.,Nieminen J.
2015-01-20,Stakhovsky S.,Lajovic D.,Stakhovsky S.
2015-01-20,Moriya H.,Janowicz J.,Janowicz J.
2015-01-20,Kuznetsov An.,Ramos-Vinolas A.,Kuznetsov An.
2015-01-20,Benneteau J.,Becker B.,Becker B.
2015-01-20,Lorenzi P.,Dolgopolov O.,Lorenzi P.
2015-01-20,Zhang Z.,Hewitt L.,Hewitt L.
2015-01-20,Pospisil V.,Querrey S.,Pospisil V.
2015-01-20,Pouille L.,Monfils G.,Monfils G.
2015-01-21,Berdych T.,Melzer J.,Berdych T.
2015-01-21,Goffin D.,Baghdatis M.,Baghdatis M.
2015-01-21,Troicki V.,Mayer L.,Troicki V.
2015-01-21,Duckworth J.,Gasquet R.,Gasquet R.
2015-01-21,Murray A.,Matosevic M.,Murray A.
2015-01-21,Berankis R.,Anderson K.,Anderson K.
2015-01-21,Dimitrov G.,Lacko L.,Dimitrov G.
2015-01-21,Bolelli S.,Federer R.,Federer R.
