Date,Player_1,Player_2,Winner
2017-06-12,Hanfmann Y.,Fucsovics M.,Hanfmann Y.
2017-06-12,Jaziri M.,Zverev M.,Zverev M.
2017-06-13,Gojowczyk P.,Basilashvili N.,Gojowczyk P.
2017-06-13,Troicki V.,Paire B.,Paire B.
2017-06-13,Janowicz J.,Kuznetsov An.,Janowicz J.
2017-06-13,Simon G.,Lopez F.,Lopez F.
2017-06-13,Haas T.,Herbert P.H.,Haas T.
2017-06-13,Robert S.,Tomic B.,Tomic B.
2017-06-13,Chardy J.,Mayer F.,Chardy J.
2017-06-14,Hanfmann Y.,Zverev M.,Zverev M.
2017-06-14,Kohlschreiber P.,Johnson S.,Kohlschreiber P.
2017-06-14,Federer R.,Haas T.,Haas T.
2017-06-14,Pouille L.,Struff J.L.,Pouille L.
2017-06-15,Chardy J.,Lopez F.,Lopez F.
2017-06-15,Berdych T.,Tomic B.,Berdych T.
2017-06-15,Dimitrov G.,Janowicz J.,Janowicz J.
2017-06-15,Paire B.,Gojowczyk P.,Paire B.
2017-06-16,Berdych T.,Lopez F.,Lopez F.
2017-06-16,Pouille L.,Kohlschreiber P.,Pouille L.
2017-06-16,Haas T.,Zverev M.,Zverev M.
2017-06-16,Paire B.,Janowicz J.,Paire B.
2017-06-17,Zverev M.,Lopez F.,Lopez F.
2017-06-17,Pouille L.,Paire B.,Pouille L.
2017-06-18,Lopez F.,Pouille L.,Pouille L.
2017-06-19,Kohlschreiber P.,Sousa J.,Kohlschreiber P.
2017-06-19,Ramos-Vinolas A.,Rublev A.,Rublev A.
2017-06-19,Brown D.,Pospisil V.,Brown D.
2017-06-19,Monfils G.,Gasquet R.,Gasquet R.
2017-06-19,Thiem D.,Marterer M.,Thiem D.
2017-06-20,Berlocq C.,Bautista Agut R.,Bautista Agut R.
2017-06-20,Zverev M.,Lacko L.,Zverev M.
2017-06-20,Verdasco F.,Nishikori K.,Nishikori K.
2017-06-20,Haase R.,Ferrer D.,Haase R.
2017-06-20,Simon G.,Khachanov K.,Khachanov K.
2017-06-20,Tomic B.,Haas T.,Tomic B.
2017-06-20,Paire B.,Mayer F.,Mayer F.
2017-06-20,Zverev A.,Lorenzi P.,Zverev A.
2017-06-20,Struff J.L.,Pouille L.,Pouille L.
2017-06-20,Federer R.,Sugita Y.,Federer R.
2017-06-20,Karlovic I.,Youzhny M.,Youzhny M.
2017-06-21,Gasquet R.,Tomic B.,Gasquet R.
2017-06-21,Brown D.,Bautista Agut R.,Bautista Agut R.
2017-06-21,Zverev A.,Kohlschreiber P.,Zverev A.
2017-06-21,Thiem D.,Haase R.,Haase R.
2017-06-22,Rublev A.,Youzhny M.,Rublev A.
2017-06-22,Pouille L.,Mayer F.,Mayer F.
2017-06-22,Federer R.,Zverev M.,Federer R.
2017-06-23,Rublev A.,Khachanov K.,Khachanov K.
2017-06-23,Gasquet R.,Haase R.,Gasquet R.
2017-06-23,Mayer F.,Federer R.,Federer R.
2017-06-23,Zverev A.,Bautista Agut R.,Zverev A.
2017-06-24,Khachanov K.,Federer R.,Federer R.
2017-06-24,Zverev A.,Gasquet R.,Zverev A.
2017-06-25,Zverev A.,Federer R.,Federer R.
2017-06-19,Tsonga J.W.,Mannarino A.,Tsonga J.W.
2017-06-19,Harrison R.,Dimitrov G.,Dimitrov G.
2017-06-19,Berdych T.,Darcis S.,Berdych T.
2017-06-19,Edmund K.,Shapovalov D.,Shapovalov D.
2017-06-20,Kokkinakis T.,Raonic M.,Kokkinakis T.
2017-06-20,Ward J.,Benneteau J.,Benneteau J.
2017-06-20,Kozlov S.,Johnson S.,Kozlov S.
2017-06-20,Wawrinka S.,Lopez F.,Lopez F.
2017-06-20,Troicki V.,Tipsarevic J.,Troicki V.
2017-06-20,Broady L.,Chardy J.,Chardy J.
2017-06-20,Thompson J.,Murray A.,Thompson J.
2017-06-20,Norrie C.,Querrey S.,Querrey S.
2017-06-20,Muller G.,Basilashvili N.,Muller G.
2017-06-20,Isner J.,Cilic M.,Cilic M.
2017-06-20,Medvedev D.,Mahut N.,Medvedev D.
2017-06-21,Troicki V.,Young D.,Young D.
2017-06-21,Muller G.,Tsonga J.W.,Muller G.
2017-06-21,Benneteau J.,Dimitrov G.,Dimitrov G.
2017-06-21,Berdych T.,Shapovalov D.,Berdych T.
2017-06-22,Kozlov S.,Cilic M.,Cilic M.
2017-06-22,Querrey S.,Thompson J.,Querrey S.
2017-06-22,Kokkinakis T.,Medvedev D.,Medvedev D.
2017-06-22,Lopez F.,Chardy J.,Lopez F.
2017-06-23,Querrey S.,Muller G.,Muller G.
2017-06-23,Cilic M.,Young D.,Cilic M.
2017-06-23,Medvedev D.,Dimitrov G.,Dimitrov G.
2017-06-23,Lopez F.,Berdych T.,Lopez F.
2017-06-24,Muller G.,Cilic M.,Cilic M.
2017-06-24,Lopez F.,Dimitrov G.,Lopez F.
2017-06-25,Cilic M.,Lopez F.,Lopez F.
2017-06-25,Darcis S.,Istomin D.,Darcis S.
2017-06-25,Coric B.,Mannarino A.,Mannarino A.
2017-06-26,Ramanathan R.,Dutra Silva R.,Ramanathan R.
2017-06-26,Ebden M.,Sugita Y.,Sugita Y.
2017-06-26,Albot R.,Sousa J.,Albot R.
2017-06-26,Basilashvili N.,Baghdatis M.,Baghdatis M.
2017-06-26,Berlocq C.,Troicki V.,Berlocq C.
2017-06-26,Ilkel C.,Safwat M.,Safwat M.
2017-06-27,Altmaier D.,Estrella Burgos V.,Altmaier D.
2017-06-27,Harris L.,Tipsarevic J.,Tipsarevic J.
2017-06-27,Seppi A.,Majchrzak K.,Seppi A.
2017-06-27,Berlocq C.,Baghdatis M.,Baghdatis M.
2017-06-27,Verdasco F.,Darcis S.,Verdasco F.
2017-06-27,Safwat M.,Mannarino A.,Mannarino A.
2017-06-27,Ramanathan R.,Thiem D.,Ramanathan R.
2017-06-28,Lorenzi P.,Albot R.,Albot R.
2017-06-28,Seppi A.,Tipsarevic J.,Seppi A.
2017-06-28,Ilhan M.,Altmaier D.,Altmaier D.
2017-06-28,Sugita Y.,Ferrer D.,Sugita Y.
2017-06-29,Ramanathan R.,Baghdatis M.,Baghdatis M.
2017-06-29,Sugita Y.,Altmaier D.,Sugita Y.
2017-06-29,Albot R.,Seppi A.,Seppi A.
2017-06-29,Mannarino A.,Verdasco F.,Mannarino A.
2017-06-30,Seppi A.,Mannarino A.,Mannarino A.
2017-07-01,Sugita Y.,Mannarino A.,Sugita Y.
2017-06-26,Schwartzman D.,Donaldson J.,Donaldson J.
2017-06-26,Young D.,Edmund K.,Young D.
2017-06-26,Vesely J.,Pospisil V.,Pospisil V.
2017-06-26,Anderson K.,Bellucci T.,Anderson K.
2017-06-26,Gombos N.,Tomic B.,Tomic B.
2017-06-26,Haase R.,Mahut N.,Haase R.
2017-06-26,Zeballos H.,Norrie C.,Norrie C.
2017-06-28,Lajovic D.,Chardy J.,Lajovic D.
2017-06-28,Skugor F.,Fabbiano T.,Fabbiano T.
2017-06-28,Zverev M.,Harrison R.,Zverev M.
2017-06-28,Querrey S.,Medvedev D.,Medvedev D.
2017-06-28,Gasquet R.,Tiafoe F.,Gasquet R.
2017-06-28,Pospisil V.,Djokovic N.,Djokovic N.
2017-06-28,Young D.,Donaldson J.,Young D.
2017-06-29,Haase R.,Medvedev D.,Medvedev D.
2017-06-29,Johnson S.,Fabbiano T.,Johnson S.
2017-06-29,Lajovic D.,Isner J.,Isner J.
2017-06-29,Tomic B.,Zverev M.,Tomic B.
2017-06-29,Norrie C.,Monfils G.,Monfils G.
2017-06-29,Gasquet R.,Anderson K.,Gasquet R.
2017-06-29,Young D.,Djokovic N.,Djokovic N.
2017-06-29,Medvedev D.,Johnson S.,Medvedev D.
2017-06-29,Tomic B.,Monfils G.,Monfils G.
2017-06-29,Gasquet R.,Isner J.,Gasquet R.
2017-06-30,Medvedev D.,Djokovic N.,Djokovic N.
2017-06-30,Monfils G.,Gasquet R.,Monfils G.
2017-07-01,Monfils G.,Djokovic N.,Djokovic N.
2017-07-03,Querrey S.,Fabbiano T.,Querrey S.
2017-07-03,Whittington A.,Monteiro T.,Monteiro T.
2017-07-03,Janowicz J.,Shapovalov D.,Janowicz J.
2017-07-03,Sousa J.,Brown D.,Brown D.
2017-07-03,Basilashvili N.,Berlocq C.,Basilashvili N.
2017-07-03,Lu Y.H.,Bolelli S.,Bolelli S.
2017-07-03,Paire B.,Dutra Silva R.,Paire B.
2017-07-03,Kuznetsov An.,Khachanov K.,Khachanov K.
2017-07-03,Tsonga J.W.,Norrie C.,Tsonga J.W.
2017-07-03,Bublik A.,Murray A.,Murray A.
2017-07-03,Nishikori K.,Cecchinato M.,Nishikori K.
2017-07-03,Verdasco F.,Anderson K.,Anderson K.
2017-07-03,Bautista Agut R.,Haider-Maurer A.,Bautista Agut R.
2017-07-03,Jaziri M.,Pouille L.,Pouille L.
2017-07-03,Gojowczyk P.,Copil M.,Gojowczyk P.
2017-07-03,Benneteau J.,Stakhovsky S.,Stakhovsky S.
2017-07-03,Seppi A.,Gombos N.,Seppi A.
2017-07-03,Kohlschreiber P.,Cilic M.,Cilic M.
2017-07-03,Nadal R.,Millman J.,Nadal R.
2017-07-03,Karlovic I.,Bedene A.,Bedene A.
2017-07-03,Fognini F.,Tursunov D.,Fognini F.
2017-07-03,Laaksonen H.,Rosol L.,Rosol L.
2017-07-03,Muller G.,Fucsovics M.,Muller G.
2017-07-03,Haas T.,Bemelmans R.,Bemelmans R.
2017-07-03,Vesely J.,Marchenko I.,Vesely J.
2017-07-03,Wawrinka S.,Medvedev D.,Medvedev D.
2017-07-03,Dzumhur D.,Olivo R.,Dzumhur D.
2017-07-03,Kicker N.,Johnson S.,Johnson S.
2017-07-04,Pavlasek A.,Escobedo E.,Pavlasek A.
2017-07-04,Berankis R.,Darcis S.,Darcis S.
2017-07-04,Edmund K.,Ward A.,Edmund K.
2017-07-04,Gasquet R.,Ferrer D.,Ferrer D.
2017-07-04,Gulbis E.,Estrella Burgos V.,Gulbis E.
2017-07-04,Daniel T.,Kukushkin M.,Kukushkin M.
2017-07-04,Youzhny M.,Mahut N.,Youzhny M.
2017-07-04,Tomic B.,Zverev M.,Zverev M.
2017-07-04,Del Potro J.M.,Kokkinakis T.,Del Potro J.M.
2017-07-04,Struff J.L.,Raonic M.,Raonic M.
2017-07-04,Ramos-Vinolas A.,Thompson J.,Ramos-Vinolas A.
2017-07-04,Travaglia S.,Rublev A.,Rublev A.
2017-07-04,Monfils G.,Brands D.,Monfils G.
2017-07-04,Bagnis F.,Albot R.,Albot R.
2017-07-04,Simon G.,Jarry N.,Simon G.
2017-07-04,Klein B.,Sugita Y.,Sugita Y.
2017-07-04,Zverev A.,Donskoy E.,Zverev A.
2017-07-04,Ward J.,Baghdatis M.,Baghdatis M.
2017-07-04,Sock J.,Garin C.,Sock J.
2017-07-04,Tsitsipas S.,Lajovic D.,Lajovic D.
2017-07-04,Harrison R.,Coric B.,Harrison R.
2017-07-04,Chardy J.,Berdych T.,Berdych T.
2017-07-04,Ofner S.,Bellucci T.,Ofner S.
2017-07-04,Haase R.,Tiafoe F.,Tiafoe F.
2017-07-04,Thiem D.,Pospisil V.,Thiem D.
2017-07-04,Schwartzman D.,Dimitrov G.,Dimitrov G.
2017-07-04,Sela D.,Granollers M.,Sela D.
2017-07-04,Fritz T.,Isner J.,Isner J.
2017-07-05,Lorenzi P.,Zeballos H.,Lorenzi P.
2017-07-05,Gojowczyk P.,Bautista Agut R.,Bautista Agut R.
2017-07-05,Muller G.,Rosol L.,Muller G.
2017-07-05,Bolelli S.,Tsonga J.W.,Tsonga J.W.
2017-07-05,Nishikori K.,Stakhovsky S.,Nishikori K.
2017-07-05,Basilashvili N.,Querrey S.,Querrey S.
2017-07-05,Bedene A.,Dzumhur D.,Bedene A.
2017-07-05,Medvedev D.,Bemelmans R.,Bemelmans R.
2017-07-05,Khachanov K.,Monteiro T.,Khachanov K.
2017-07-05,Mayer F.,Cilic M.,Cilic M.
2017-07-05,Johnson S.,Albot R.,Johnson S.
2017-07-05,Vesely J.,Fognini F.,Fognini F.
2017-07-05,Janowicz J.,Pouille L.,Janowicz J.
2017-07-05,Seppi A.,Anderson K.,Anderson K.
2017-07-05,Murray A.,Brown D.,Murray A.
2017-07-05,Herbert P.H.,Paire B.,Paire B.
2017-07-05,Nadal R.,Young D.,Nadal R.
2017-07-06,Baghdatis M.,Dimitrov G.,Dimitrov G.
2017-07-06,Sela D.,Isner J.,Sela D.
2017-07-06,Kukushkin M.,Zverev M.,Zverev M.
2017-07-06,Gulbis E.,Del Potro J.M.,Gulbis E.
2017-07-06,Edmund K.,Monfils G.,Monfils G.
2017-07-06,Djokovic N.,Pavlasek A.,Djokovic N.
2017-07-06,Sugita Y.,Mannarino A.,Mannarino A.
2017-07-06,Thiem D.,Simon G.,Thiem D.
2017-07-06,Harrison R.,Berdych T.,Berdych T.
2017-07-06,Raonic M.,Youzhny M.,Raonic M.
2017-07-06,Rublev A.,Ramos-Vinolas A.,Ramos-Vinolas A.
2017-07-06,Donaldson J.,Lorenzi P.,Donaldson J.
2017-07-06,Tiafoe F.,Zverev A.,Zverev A.
2017-07-06,Federer R.,Lajovic D.,Federer R.
2017-07-06,Sock J.,Ofner S.,Ofner S.
2017-07-07,Bautista Agut R.,Nishikori K.,Bautista Agut R.
2017-07-07,Bedene A.,Muller G.,Muller G.
2017-07-07,Cilic M.,Johnson S.,Cilic M.
2017-07-07,Janowicz J.,Paire B.,Paire B.
2017-07-07,Nadal R.,Khachanov K.,Nadal R.
2017-07-07,Fognini F.,Murray A.,Murray A.
2017-07-07,Anderson K.,Bemelmans R.,Anderson K.
2017-07-08,Monfils G.,Mannarino A.,Mannarino A.
2017-07-08,Raonic M.,Ramos-Vinolas A.,Raonic M.
2017-07-08,Tsonga J.W.,Querrey S.,Querrey S.
2017-07-08,Berdych T.,Ferrer D.,Berdych T.
2017-07-08,Gulbis E.,Djokovic N.,Djokovic N.
2017-07-08,Zverev A.,Ofner S.,Zverev A.
2017-07-08,Donaldson J.,Thiem D.,Thiem D.
2017-07-08,Federer R.,Zverev M.,Federer R.
2017-07-10,Bautista Agut R.,Cilic M.,Cilic M.
2017-07-10,Querrey S.,Anderson K.,Querrey S.
2017-07-10,Paire B.,Murray A.,Murray A.
2017-07-10,Berdych T.,Thiem D.,Berdych T.
2017-07-10,Nadal R.,Muller G.,Muller G.
2017-07-10,Raonic M.,Zverev A.,Raonic M.
2017-07-10,Dimitrov G.,Federer R.,Federer R.
2017-07-11,Djokovic N.,Mannarino A.,Djokovic N.
2017-07-12,Muller G.,Cilic M.,Cilic M.
2017-07-12,Querrey S.,Murray A.,Querrey S.
2017-07-12,Raonic M.,Federer R.,Federer R.
2017-07-14,Cilic M.,Querrey S.,Cilic M.
2017-07-14,Berdych T.,Federer R.,Federer R.
2017-07-16,Federer R.,Cilic M.,Federer R.
2017-07-17,Ymer M.,Laaksonen H.,Laaksonen H.
2017-07-18,Bagnis F.,Haas T.,Bagnis F.
2017-07-18,Struff J.L.,Kuznetsov An.,Kuznetsov An.
2017-07-18,Olivo R.,Mathieu P.H.,Olivo R.
2017-07-18,Bellucci T.,Brown D.,Brown D.
2017-07-18,Schwartzman D.,Marterer M.,Schwartzman D.
2017-07-18,Mayer L.,Dolgopolov O.,Dolgopolov O.
2017-07-18,Gulbis E.,De Greef A.,Gulbis E.
2017-07-18,Delbonis F.,Ferrer D.,Ferrer D.
2017-07-18,Zeballos H.,Basilashvili N.,Zeballos H.
2017-07-18,Ymer E.,Verdasco F.,Verdasco F.
2017-07-19,Schwartzman D.,Olivo R.,Schwartzman D.
2017-07-19,Cuevas P.,Laaksonen H.,Laaksonen H.
2017-07-19,Ferrer D.,Brown D.,Ferrer D.
2017-07-20,Gulbis E.,Khachanov K.,Khachanov K.
2017-07-20,Dolgopolov O.,Zeballos H.,Dolgopolov O.
2017-07-20,Bagnis F.,Verdasco F.,Verdasco F.
2017-07-20,Ramos-Vinolas A.,Monteiro T.,Ramos-Vinolas A.
2017-07-21,Schwartzman D.,Kuznetsov An.,Kuznetsov An.
2017-07-21,Dolgopolov O.,Khachanov K.,Dolgopolov O.
2017-07-21,Ramos-Vinolas A.,Verdasco F.,Verdasco F.
2017-07-21,Ferrer D.,Laaksonen H.,Ferrer D.
2017-07-22,Kuznetsov An.,Dolgopolov O.,Dolgopolov O.
2017-07-22,Ferrer D.,Verdasco F.,Ferrer D.
2017-07-23,Dolgopolov O.,Ferrer D.,Ferrer D.
2017-07-17,Novikov D.,Chiudinelli M.,Novikov D.
2017-07-17,Krueger M.,Kudla D.,Kudla D.
2017-07-17,Gojowczyk P.,Kwiatkowski T.S.,Gojowczyk P.
2017-07-17,Fritz T.,Kamke T.,Kamke T.
2017-07-17,Menendez-Maceiras A.,Kozlov S.,Menendez-Maceiras A.
2017-07-17,Marchenko I.,Fratangelo B.,Fratangelo B.
2017-07-18,Kravchuk K.,Estrella Burgos V.,Kravchuk K.
2017-07-18,Krajicek A.,Groth S.,Groth S.
2017-07-18,Santillan A.,Mmoh M.,Santillan A.
2017-07-18,Opelka R.,Lacko L.,Lacko L.
2017-07-18,Dancevic F.,Sandgren T.,Dancevic F.
2017-07-18,Ram R.,Ebden M.,Ebden M.
2017-07-19,Gojowczyk P.,Kravchuk K.,Gojowczyk P.
2017-07-19,Kudla D.,Karlovic I.,Karlovic I.
2017-07-19,Kamke T.,Mannarino A.,Kamke T.
2017-07-19,Menendez-Maceiras A.,Herbert P.H.,Herbert P.H.
2017-07-19,Isner J.,Groth S.,Isner J.
2017-07-19,Lacko L.,Ebden M.,Ebden M.
2017-07-19,Fratangelo B.,Santillan A.,Fratangelo B.
2017-07-19,Dancevic F.,Novikov D.,Novikov D.
2017-07-20,Ebden M.,Kamke T.,Ebden M.
2017-07-20,Karlovic I.,Gojowczyk P.,Gojowczyk P.
2017-07-21,Isner J.,Novikov D.,Isner J.
2017-07-21,Herbert P.H.,Fratangelo B.,Fratangelo B.
2017-07-22,Ebden M.,Gojowczyk P.,Ebden M.
2017-07-22,Fratangelo B.,Isner J.,Isner J.
2017-07-23,Isner J.,Ebden M.,Isner J.
2017-07-17,Simon G.,Cecchinato M.,Cecchinato M.
2017-07-17,Dodig I.,Copil M.,Dodig I.
2017-07-18,Trungelliti M.,Dutra Silva R.,Dutra Silva R.
2017-07-18,Martin A.,Istomin D.,Martin A.
2017-07-18,Polmans M.,Giannessi A.,Giannessi A.
2017-07-18,Vesely J.,Gombos N.,Vesely J.
2017-07-18,Paire B.,De Schepper K.,De Schepper K.
2017-07-18,Balazs A.,Dzumhur D.,Balazs A.
2017-07-18,Zekic M.,Albot R.,Albot R.
2017-07-18,Rublev A.,Berlocq C.,Rublev A.
2017-07-18,Youzhny M.,Kicker N.,Kicker N.
2017-07-18,Bedene A.,Sousa J.,Bedene A.
2017-07-19,Albot R.,Vesely J.,Vesely J.
2017-07-19,Dodig I.,Cecchinato M.,Dodig I.
2017-07-19,Balazs A.,Goffin D.,Goffin D.
2017-07-19,Lorenzi P.,Bedene A.,Lorenzi P.
2017-07-20,Kicker N.,Fognini F.,Fognini F.
2017-07-20,Rublev A.,Martin A.,Rublev A.
2017-07-20,Monfils G.,Dutra Silva R.,Dutra Silva R.
2017-07-20,Giannessi A.,De Schepper K.,Giannessi A.
2017-07-21,Goffin D.,Dodig I.,Dodig I.
2017-07-21,Giannessi A.,Dutra Silva R.,Giannessi A.
2017-07-21,Fognini F.,Rublev A.,Rublev A.
2017-07-21,Lorenzi P.,Vesely J.,Lorenzi P.
2017-07-22,Dodig I.,Rublev A.,Rublev A.
2017-07-22,Lorenzi P.,Giannessi A.,Lorenzi P.
2017-07-23,Lorenzi P.,Rublev A.,Rublev A.
2017-07-24,Lacko L.,Fabbiano T.,Lacko L.
2017-07-24,Chung H.,Paul T.,Paul T.
2017-07-25,Donaldson J.,Escobedo E.,Donaldson J.
2017-07-25,Kozlov S.,Halys Q.,Halys Q.
2017-07-25,Edmund K.,Baghdatis M.,Edmund K.
2017-07-25,Opelka R.,Jaziri M.,Jaziri M.
2017-07-25,Young D.,Smyczek T.,Young D.
2017-07-25,Fratangelo B.,Pospisil V.,Pospisil V.
2017-07-25,Millman J.,Tiafoe F.,Millman J.
2017-07-25,Fritz T.,Eubanks C.,Eubanks C.
2017-07-25,Gojowczyk P.,Pella G.,Gojowczyk P.
2017-07-26,Kravchuk K.,Sela D.,Sela D.
2017-07-26,Paul T.,Jaziri M.,Paul T.
2017-07-26,Halys Q.,Muller G.,Muller G.
2017-07-26,Lacko L.,Young D.,Lacko L.
2017-07-26,Pospisil V.,Isner J.,Isner J.
2017-07-27,Edmund K.,Gojowczyk P.,Edmund K.
2017-07-27,Millman J.,Harrison R.,Harrison R.
2017-07-28,Eubanks C.,Donaldson J.,Eubanks C.
2017-07-28,Sela D.,Sock J.,Sock J.
2017-07-28,Muller G.,Paul T.,Muller G.
2017-07-28,Lacko L.,Isner J.,Isner J.
2017-07-28,Harrison R.,Eubanks C.,Harrison R.
2017-07-29,Sock J.,Edmund K.,Edmund K.
2017-07-29,Isner J.,Muller G.,Isner J.
2017-07-30,Edmund K.,Harrison R.,Harrison R.
2017-07-30,Isner J.,Harrison R.,Isner J.
2017-07-24,Daniel T.,Gombos N.,Gombos N.
2017-07-24,Hanfmann Y.,Bagnis F.,Hanfmann Y.
2017-07-24,Giustino L.,Istomin D.,Istomin D.
2017-07-24,Sakharov G.,Bellier A.,Sakharov G.
2017-07-25,Youzhny M.,Albot R.,Albot R.
2017-07-25,Sousa J.,Giraldo S.,Sousa J.
2017-07-25,Dolgopolov O.,Monteiro T.,Monteiro T.
2017-07-25,Brown D.,Lajovic D.,Brown D.
2017-07-25,Olivo R.,Haase R.,Haase R.
2017-07-26,Gulbis E.,Brands D.,Gulbis E.
2017-07-26,Chiudinelli M.,Lorenzi P.,Lorenzi P.
2017-07-26,Laaksonen H.,Bellucci T.,Laaksonen H.
2017-07-26,Monteiro T.,Haase R.,Haase R.
2017-07-26,Istomin D.,Brown D.,Istomin D.
2017-07-26,Sakharov G.,Bautista Agut R.,Bautista Agut R.
2017-07-26,Goffin D.,Albot R.,Goffin D.
2017-07-27,Lorenzi P.,Gulbis E.,Gulbis E.
2017-07-27,Fognini F.,Gombos N.,Fognini F.
2017-07-27,Lopez F.,Hanfmann Y.,Hanfmann Y.
2017-07-27,Sousa J.,Laaksonen H.,Sousa J.
2017-07-28,Goffin D.,Haase R.,Haase R.
2017-07-28,Hanfmann Y.,Sousa J.,Hanfmann Y.
2017-07-28,Istomin D.,Bautista Agut R.,Bautista Agut R.
2017-07-28,Fognini F.,Gulbis E.,Fognini F.
2017-07-29,Haase R.,Hanfmann Y.,Hanfmann Y.
2017-07-29,Fognini F.,Bautista Agut R.,Fognini F.
2017-07-30,Hanfmann Y.,Fognini F.,Fognini F.
2017-07-24,Zeballos H.,Altmaier D.,Zeballos H.
2017-07-24,Dzumhur D.,Stebe C.M.,Stebe C.M.
2017-07-24,Schwartzman D.,Haider-Maurer A.,Schwartzman D.
2017-07-24,Cecchinato M.,Mayer F.,Mayer F.
2017-07-24,Paire B.,Tursunov D.,Paire B.
2017-07-24,Marterer M.,Simon G.,Simon G.
2017-07-24,Struff J.L.,Donskoy E.,Struff J.L.
2017-07-25,Cuevas P.,Kuznetsov An.,Kuznetsov An.
2017-07-25,Khachanov K.,Molleker R.,Khachanov K.
2017-07-25,Haas T.,Kicker N.,Kicker N.
2017-07-25,Delbonis F.,Berlocq C.,Delbonis F.
2017-07-25,Rublev A.,Kohlschreiber P.,Kohlschreiber P.
2017-07-25,Mayer L.,Ramos-Vinolas A.,Mayer L.
2017-07-26,Hernandez-Fernandez J.,Bedene A.,Bedene A.
2017-07-26,Ferrer D.,Basilashvili N.,Ferrer D.
2017-07-26,Verdasco F.,Vesely J.,Vesely J.
2017-07-26,Mayer F.,Kuznetsov An.,Mayer F.
2017-07-26,Stebe C.M.,Schwartzman D.,Schwartzman D.
2017-07-27,Kicker N.,Paire B.,Kicker N.
2017-07-27,Ferrer D.,Delbonis F.,Delbonis F.
2017-07-27,Vesely J.,Zeballos H.,Vesely J.
2017-07-27,Bedene A.,Khachanov K.,Khachanov K.
2017-07-27,Kohlschreiber P.,Simon G.,Kohlschreiber P.
2017-07-27,Struff J.L.,Mayer L.,Mayer L.
2017-07-28,Delbonis F.,Khachanov K.,Delbonis F.
2017-07-28,Vesely J.,Mayer L.,Mayer L.
2017-07-28,Kohlschreiber P.,Kicker N.,Kohlschreiber P.
2017-07-28,Schwartzman D.,Mayer F.,Mayer F.
2017-07-29,Mayer L.,Delbonis F.,Mayer L.
2017-07-30,Mayer F.,Mayer L.,Mayer L.
2017-07-31,Sousa J.,Youzhny M.,Sousa J.
2017-07-31,Marterer M.,Lajovic D.,Lajovic D.
2017-07-31,Zekic M.,Kuznetsov An.,Zekic M.
2017-07-31,Dolgopolov O.,Bellucci T.,Bellucci T.
2017-08-01,Zeballos H.,Dutra Silva R.,Zeballos H.
2017-08-01,Haase R.,Giraldo S.,Giraldo S.
2017-08-01,Kohlschreiber P.,Bagnis F.,Kohlschreiber P.
2017-08-01,Hanfmann Y.,Vesely J.,Vesely J.
2017-08-01,Struff J.L.,Haas T.,Struff J.L.
2017-08-01,Monteiro T.,Olivo R.,Olivo R.
2017-08-01,Melzer G.,Berlocq C.,Melzer G.
2017-08-02,Zeballos H.,Olivo R.,Olivo R.
2017-08-02,Kohlschreiber P.,Vesely J.,Kohlschreiber P.
2017-08-02,Struff J.L.,Bellucci T.,Bellucci T.
2017-08-02,Lajovic D.,Simon G.,Lajovic D.
2017-08-02,Cuevas P.,Ofner S.,Ofner S.
2017-08-02,Fognini F.,Zekic M.,Fognini F.
2017-08-02,Lorenzi P.,Sousa J.,Sousa J.
2017-08-02,Melzer G.,Giraldo S.,Melzer G.
2017-08-03,Lajovic D.,Kohlschreiber P.,Kohlschreiber P.
2017-08-03,Fognini F.,Bellucci T.,Fognini F.
2017-08-03,Olivo R.,Ofner S.,Ofner S.
2017-08-03,Sousa J.,Melzer G.,Sousa J.
2017-08-04,Fognini F.,Kohlschreiber P.,Kohlschreiber P.
2017-08-04,Sousa J.,Ofner S.,Sousa J.
2017-08-05,Sousa J.,Kohlschreiber P.,Kohlschreiber P.
2017-08-01,Dzumhur D.,Daniel T.,Dzumhur D.
2017-08-01,Sanchez M.,King E.,King E.
2017-08-01,Kokkinakis T.,Tiafoe F.,Kokkinakis T.
2017-08-01,Novikov D.,Ebden M.,Ebden M.
2017-08-01,Santillan A.,Kravchuk K.,Santillan A.
2017-08-01,Jung J.,Mannarino A.,Mannarino A.
2017-08-02,Fratangelo B.,Ito T.,Fratangelo B.
2017-08-02,Karlovic I.,Halys Q.,Halys Q.
2017-08-02,Millot V.,Klein B.,Millot V.
2017-08-02,Uchiyama Y.,Polansky P.,Polansky P.
2017-08-02,Verdasco F.,Escobedo E.,Verdasco F.
2017-08-02,Kukushkin M.,Fritz T.,Fritz T.
2017-08-03,Mannarino A.,Fratangelo B.,Mannarino A.
2017-08-03,King E.,Querrey S.,Querrey S.
2017-08-03,Kokkinakis T.,Polansky P.,Kokkinakis T.
2017-08-03,Verdasco F.,Millot V.,Millot V.
2017-08-03,Berdych T.,Santillan A.,Berdych T.
2017-08-03,Ebden M.,Lopez F.,Lopez F.
2017-08-03,Fritz T.,Ramos-Vinolas A.,Fritz T.
2017-08-04,Millot V.,Querrey S.,Querrey S.
2017-08-04,Berdych T.,Mannarino A.,Berdych T.
2017-08-04,Fritz T.,Kokkinakis T.,Kokkinakis T.
2017-08-04,Dzumhur D.,Lopez F.,Dzumhur D.
2017-08-05,Berdych T.,Kokkinakis T.,Kokkinakis T.
